"String","String"
"シルフ","しるふ"
"ＡＲ（拡張現実）","ええあある"
"ＡＲ都市","ええああるとし"
"アドＡＲ","あどええあある"
"チェリー・ブロッサム","ちぇりいぶろっさむ"
"サメ野郎","さめやろう"
"オルッター","おるったあ"
"ボディジェスチャー","ぼでぃじぇすちゃあ"
"オルタグ","おるたぐ"
"八尋の人魚伝説","やひろのにんぎょでんせつ"
"ゴミタグ","ごみたぐ"
"ＡＲデバイス","ええああるでばいす"
"モラトリアム人間","もらとりあむにんげん"
"物理デバイス１","ぶつりでばいす１"
"物理デバイス２","ぶつりでばいす２"
"サイメル社／サイメルコーポレーション","さいめるしゃ"
"ドロット１","どろっと１"
"シルファーＯＳ","しるふぁあおおえす"
"ロールプレイングゲーム","ろおるぷれいんぐげえむ"
"位置情報ゲーム","いちじょうほうげえむ"
"究極的なパーソナルを作り出す存在","きゅうきょくなぱあそなるをつくりだすそんざい"
"フレンド登録","ふれんどとうろく"
"課金兵","かきんへい"
"ギルド／クラン","ぎるど"
"次世代部","じせだいぶ"
"ムーアの法則・収穫加速の法則","むうあのほうそく"
"ハイブリッドＣＰＵ","はいぶりっどしいぴいゆう"
"アングラツール１","あんぐらつうる１"
"クイーンズフォート","くいいんずふぉおと"
"ＮＰＣ","えぬぴいしい"
"ライブトーク","らいぶとおく"
"ドロット２","どろっと２"
"マスターシャーク","ますたあしゃあく"
"ヒルコ","ひるこ"
"サーバクライアントモデル","さあばくらいあんともでる"
"ＣＣＰ／ＧＰ","しいしいぴいじいぴい"
"ハイセンスデバイス","はいせんすでばいす"
"ルーニー","るうにい"
"ネット依存症防止法案","ねっといぞんしょうぼうしほうあん"
"生体コンピュータ１","せいたいこんぴゅうた１"
"アングラツール２","あんぐらつうる２"
"ＮＤＡ","えぬでぃいええ"
"転び公妨","ころびこうぼう"
"アカＢＡＮ","あかばん"
"リバースエンジニアリング","りばあすえんじにありんぐ"
"ＢＯＴ／ＲＭＴ","ぼっと"
"インディーズゲーム","いんでぃいずげえむ"
"ソウル・ウィーバー１","そうるうぃいばあ１"
"ＡＰＩ","ええぴいあい"
"ＡＲエクスプローラ","ええああるえくすぷろうらあ"
"ＧＰＳ","じいぴいえす"
"ＭＭＯＲＰＧ","えむえむおおああるぴいじい"
"Ｐ２Ｐ","ぴいつうぴい"
"ｑｕｂｉｔ","きゅうびっと"
"ＶＲマネー","ぶいああるまねー"
"ＹＳメディカルセンター","わいえすめでぃかるせんたー"
"βテスト","べえたてすと"
"オータム適正","おうたむてきせい"
"かわいがり","かわいがり"
"クリーチャーエナジー","くりいちゃあえなじい"
"ゲームマスター／ＧＭ","げえむますたあ"
"コピー","こぴい"
"スケーラビリティ","すけいらびりてぃ"
"スパイウェア","すぱいうぇあ"
"ソウル・ウィーバー２","そうるうぃいばあ２"
"チャレンジクエスト","ちゃれんじくえすと"
"ディスる","でぃする"
"デバイスＩＤ","でばいすあいでぃい"
"ネタバレ","ねたばれ"
"ネット依存症","ねっといぞんしょう"
"ハニートラップ","はにいとらっぷ"
"ベンダー","べんだあ"
"ボイスコマンド","ぼいすこまんど"
"マルヴィナ・クルサード","まるヴぃなくるさーど"
"ミダス王","みだすおう"
"奥野薪人","おうのまきと"
"奥野澄","おうのすみ"
"黄金井莉央","こがねいりお"
"海水浴場","かいすいよくじょう"
"学園前通り","がくえんまえどおり"
"岩場の浜辺","いわばのはまべ"
"京月持子","きょうげつもちこ"
"強くてニューゲーム","つよくてにゅうげえむ"
"空気投げ","くうきなげ"
"三神リリア","みかみりりあ"
"捨てアカウント","すてあかうんと"
"珠姫ゆうか","たまきゆうか"
"生体コンピュータ２","せいたいこんぴゅうた２"
"代理脳","だいりのう"
"辻回復","つじかいふく"
"展望台公園","てんぼうだいこうえん"
"電気自動車","でんきじどうしゃ"
"匿名設定","とくめいきぼう"
"廃人","はいじん"
"八という数字","はちというすうじ"
"八剣小町","やつるぎこまち"
"八剣都子","やつるぎみやこ"
"八上みらいな商店街","やがみみらいなしょうてんがい"
"八上学園","やがみがくえん"
"八尋市","やひろし"
"八尋市庁舎","やひろしちょうしゃ"
"美作瑠璃","みまさかるり"
"菱村正宗","ひしむらまさむね"
"百合","ゆり"
"量子暗号","りょうしあんごう"
"臨海公園","りんかいこうえん"
"グリッドコンピューティングシステム","ぐりっどこんぴゅうてぃんぐ"
"非決定性チューリングマシン","ひけっていせいちゅうりんぐましん"
"八尋の海の「人魚伝説」１","やひろのうみのにんぎょでんせつ１"
"八尋の海の「人魚伝説」２","やひろのうみのにんぎょでんせつ２"
"八尋の海の「人魚伝説」３","やひろのうみのにんぎょでんせつ３"
"八尋の海の「人魚伝説」４","やひろのうみのにんぎょでんせつ４"
"八尋の海の「人魚伝説」５","やひろのうみのにんぎょでんせつ５"
"八尋の海の「人魚伝説」６","やひろのうみのにんぎょでんせつ６"
"八尋の海の「人魚伝説」７","やひろのうみのにんぎょでんせつ７"
"八尋の海の「人魚伝説」８","やひろのうみのにんぎょでんせつ８"
"八尋の海の「人魚伝説」９","やひろのうみのにんぎょでんせつ９"
"脳波デバイス","のうはでばいす"
"ファナ","ふぁな"
"ローレライ","ろーれらい"
"京月結有","きょうげつゆう"
"アバター／アバター名","あばたー"
"連コ","れんこ"
"灼炎の時代","しゃくえんのじだい"
"アンビシオン","あんびしおん"
"プルミエ叙事詩","ぷるみえじょじし"
"ＰｖＰ","ぴーぶいぴー"
"接待プレイ","せったいぷれい"
"プルミエの物語","ぷるみえのものがたり"
"全神経制御型ＶＲゲーム","ぜんしんけいせいぎょがたぶいあーるげーむ"
